location_name,floor,location_detail,total_amount,repair_count
彩明商場二期,LG/F,(巴士站)升降機大堂(L5L6),510.0,4
彩明商場一期,G/F,升降機大堂(L1L2),240.0,4
耀東停車場 (CP2),1/F,出入口 (近B8車位),9900.0,4
耀東停車場 (CP2),1/F,出入口閘機,5500.0,4
美利樓,1/F,公共區域走廊,21130.84,4
長發廣場,3/F,戶外範圍 (海旁天橋),6200.0,4
TKO Gateway商場西翼,G/F,消防控制室,19196.8,4
TKO Gateway熟食檔,G/F,女廁,2200.0,4
大元商場新翼,G/F,保安休息室,1989.4,4
翠屏(北)停車場1號場,1/F,繳費處,14522.78,4
TKO Gateway商場東翼,2/F,走廊(後走廊),4220.0,4
欣明停車場,2/F,車位229至241,9795.34,4
鳳德商場,G/F,總電制房,2155.0,4
小西灣廣場,5/F,公共區域全層,20361.36,4
何文田廣場,1/F,,4746.0,4
大元商場新翼,1/F,女洗手間,15600.0,4
小西灣廣場,4/F,商場平台(近407),9000.0,4
美利樓,2/F,公共區域走廊,3942.45,4
慈雲山中心,5/F,公共區域,21400.0,4
秀茂坪商場,1/F,101-102號舖對出,3220.0,3
富善商場,7/F,消防泵房,6985.95,3
建生商場,G/F,走廊(近121號舖),14742.59,3
良景廣場L,1樓,梯(ST14),23868.47,3
禾輋廣場A區,G/F,防火閘,3140.46,3
彩明商場一期,3/F,樓梯(ST7),1123.0,3
朗屏商場,2/F,男廁,7829.0,3
天耀廣場,R/F,消防花灑水缸及泵房,1176.29,3
彩明商場二期,4/F,(花園)戶外範圍(L8L9對出),395.0,3
彩明商場二期,4/F,(花園)戶外設施(單槓),590.0,3
慈雲山中心,2/F,商場走廊(201至203號舖對出),3280.45,3
慈雲山中心,1/F,後巷(113&108C舖),23577.4,3
